system:index,EsaWorldCover_BareOrSparseVegetation_AGB_current_MgC,EsaWorldCover_BareOrSparseVegetation_AGB_diff_MgC,EsaWorldCover_BareOrSparseVegetation_AGB_pot_MgC,EsaWorldCover_BareOrSparseVegetation_Underground_current_MgC,EsaWorldCover_BareOrSparseVegetation_Underground_diff_MgC,EsaWorldCover_BareOrSparseVegetation_Underground_pot_MgC,EsaWorldCover_BareOrSparseVegetation_area_ha,EsaWorldCover_BuiltUp_AGB_current_MgC,EsaWorldCover_BuiltUp_AGB_diff_MgC,EsaWorldCover_BuiltUp_AGB_pot_MgC,EsaWorldCover_BuiltUp_Underground_current_MgC,EsaWorldCover_BuiltUp_Underground_diff_MgC,EsaWorldCover_BuiltUp_Underground_pot_MgC,EsaWorldCover_BuiltUp_area_ha,EsaWorldCover_Cropland_AGB_current_MgC,EsaWorldCover_Cropland_AGB_diff_MgC,EsaWorldCover_Cropland_AGB_pot_MgC,EsaWorldCover_Cropland_Underground_current_MgC,EsaWorldCover_Cropland_Underground_diff_MgC,EsaWorldCover_Cropland_Underground_pot_MgC,EsaWorldCover_Cropland_area_ha,EsaWorldCover_Grassland_AGB_current_MgC,EsaWorldCover_Grassland_AGB_diff_MgC,EsaWorldCover_Grassland_AGB_pot_MgC,EsaWorldCover_Grassland_Underground_current_MgC,EsaWorldCover_Grassland_Underground_diff_MgC,EsaWorldCover_Grassland_Underground_pot_MgC,EsaWorldCover_Grassland_area_ha,EsaWorldCover_HerbaceousWetland_AGB_current_MgC,EsaWorldCover_HerbaceousWetland_AGB_diff_MgC,EsaWorldCover_HerbaceousWetland_AGB_pot_MgC,EsaWorldCover_HerbaceousWetland_Underground_current_MgC,EsaWorldCover_HerbaceousWetland_Underground_diff_MgC,EsaWorldCover_HerbaceousWetland_Underground_pot_MgC,EsaWorldCover_HerbaceousWetland_area_ha,EsaWorldCover_Mangroves_AGB_current_MgC,EsaWorldCover_Mangroves_AGB_diff_MgC,EsaWorldCover_Mangroves_AGB_pot_MgC,EsaWorldCover_Mangroves_Underground_current_MgC,EsaWorldCover_Mangroves_Underground_diff_MgC,EsaWorldCover_Mangroves_Underground_pot_MgC,EsaWorldCover_Mangroves_area_ha,EsaWorldCover_MossAndLichen_AGB_current_MgC,EsaWorldCover_MossAndLichen_AGB_diff_MgC,EsaWorldCover_MossAndLichen_AGB_pot_MgC,EsaWorldCover_MossAndLichen_Underground_current_MgC,EsaWorldCover_MossAndLichen_Underground_diff_MgC,EsaWorldCover_MossAndLichen_Underground_pot_MgC,EsaWorldCover_MossAndLichen_area_ha,EsaWorldCover_PermanentWaterBodies_AGB_current_MgC,EsaWorldCover_PermanentWaterBodies_AGB_diff_MgC,EsaWorldCover_PermanentWaterBodies_AGB_pot_MgC,EsaWorldCover_PermanentWaterBodies_Underground_current_MgC,EsaWorldCover_PermanentWaterBodies_Underground_diff_MgC,EsaWorldCover_PermanentWaterBodies_Underground_pot_MgC,EsaWorldCover_PermanentWaterBodies_area_ha,EsaWorldCover_Shrubland_AGB_current_MgC,EsaWorldCover_Shrubland_AGB_diff_MgC,EsaWorldCover_Shrubland_AGB_pot_MgC,EsaWorldCover_Shrubland_Underground_current_MgC,EsaWorldCover_Shrubland_Underground_diff_MgC,EsaWorldCover_Shrubland_Underground_pot_MgC,EsaWorldCover_Shrubland_area_ha,EsaWorldCover_TreeCover_AGB_current_MgC,EsaWorldCover_TreeCover_AGB_diff_MgC,EsaWorldCover_TreeCover_AGB_pot_MgC,EsaWorldCover_TreeCover_Underground_current_MgC,EsaWorldCover_TreeCover_Underground_diff_MgC,EsaWorldCover_TreeCover_Underground_pot_MgC,EsaWorldCover_TreeCover_area_ha,Name,.geo
0,1540183.412197810,6952572.513938810,8492755.926164620,1.8962034347401E+07,5647311.724467410,2.46093460657877E+07,107663.94638033100,1.42975072484518E+07,4.97502806437136E+07,6.40477878974859E+07,1.34267271946668E+08,4.01195479588758E+07,1.7438681988444E+08,796816.1895694010,8.14526690800577E+07,5.97578758739123E+08,6.79031427929128E+08,1.53071150014995E+09,4.69845375032934E+08,2.00055687498539E+09,8608327.660755940,1.01448206401523E+08,3.31777973687996E+08,4.33226180139137E+08,9.59754516936621E+08,2.7366318129997E+08,1.23341769806703E+09,4953190.092090450,1418168.294725870,1665229.7148343500,3083398.0108543700,1.10818801970674E+07,1988560.543865920,1.30704407343625E+07,49132.16413572610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3191938.226174210,3705782.3886562700,6897720.614559400,1.7276875176477E+07,3402119.787854950,2.06789949737082E+07,89810.19531298660,56559.05928684090,227180.62567726700,283739.6850844520,717305.1215120360,170201.66094098400,887506.7851434540,3688.341214695750,2.55736846326867E+08,2.91848276692069E+08,5.47585123071602E+08,1.10982957241083E+09,2.51348262902571E+08,1.36117783515055E+09,5586856.05242049,westFrance,"{""type"":""Polygon"",""coordinates"":[[[-1.087355353876971,50.09315871562977],[-3.2846209788769705,49.46889949899514],[-5.30610535387697,47.843458472787276],[-1.7025897288769707,45.921417406291816],[2.2524883961230295,46.95107676598613],[4.361863396123028,49.525982869704066],[6.910691521123028,50.876064068820256],[2.516160271123029,51.31762627441974],[-1.087355353876971,50.09315871562977]]]}"
1,2.6088946810829E+07,5.77822805608223E+07,8.38712273620336E+07,5.25294516908615E+08,7.17541334293053E+07,5.97048650243181E+08,4298467.920254420,7618453.533959980,2.96443719053503E+07,3.72628254497908E+07,1.40998258485029E+08,1.98581034596445E+07,1.60856361931793E+08,822975.7684874430,1.184000337662E+07,8.25686671283293E+07,9.44086705041119E+07,4.45699653817543E+08,4.92770357441999E+07,4.9497668956723E+08,2499774.630504180,2.66307639515213E+08,4.76865924281503E+08,7.43173563866958E+08,2.4536706529173E+09,3.93792923153084E+08,2.84746357583326E+09,1.5132771655087E+07,1486189.113618890,3838733.605819340,5324922.719439040,1.39299789399387E+07,2167327.989562220,1.60973069301159E+07,62819.76171622540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4753272.982721780,7373752.4919372100,1.21270254713758E+07,4.91782585800182E+07,2837270.5618677400,5.20155291397109E+07,145269.68873479300,1.01047101936917E+07,9134607.546011030,1.92393177441193E+07,4.78647727086388E+07,4746333.61374468,5.26111063308652E+07,185590.02910152200,6171718.198419710,1.65002429217181E+07,2.26719611212574E+07,1.60975518599868E+08,3.68387132060939E+07,1.97814231797642E+08,1573856.9274062100,4.1106556750847E+09,1.36071066867204E+09,5.47136634362579E+09,7.20351775261684E+09,5.16560247851795E+08,7.72007800090298E+09,2.68785449352245E+07,westUSA,"{""type"":""Polygon"",""coordinates"":[[[-121.40962097887697,49.067450162534435],[-124.22212097887697,47.54767699922032],[-125.36469910387699,42.521578964298925],[-124.66157410387696,37.89313719043075],[-121.05805847887697,37.05612935501023],[-118.24555847887697,35.138854890991],[-117.01508972887697,36.280669097619906],[-119.21235535387697,40.947614919677946],[-119.38813660387697,43.165992940964166],[-120.44282410387697,44.872288367528206],[-119.03657410387699,47.96130141254787],[-121.40962097887697,49.067450162534435]]]}"
2,8387806.794209720,2.51037811555367E+07,3.34915879423273E+07,1.71653406215033E+08,1.6668117631105E+07,1.88321523853719E+08,520095.40144232100,5682376.456568210,2.70837864670104E+07,3.27661629184726E+07,1.5090993235154E+08,1.4523902839343E+07,1.65433835178182E+08,471479.26192793200,1.20479776140028E+08,9.08708500599574E+08,1.02918827668279E+09,6.62895054566279E+09,7.23788907097044E+08,7.35273945290778E+09,1.9667109665769E+07,4.61957589628014E+08,1.39856411196969E+09,1.86052170133968E+09,9.4776665047687E+09,8.68486650515925E+08,1.03461531556814E+10,2.77725989293466E+07,2.4900457863507E+08,1.70941125551014E+08,4.19945704132812E+08,2.6694974903325E+09,8.20279125013295E+07,2.75152540289352E+09,7392572.786364060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879742.5750772680,1802207.87974905,2681950.4559198900,3.33406727177538E+07,842548.2317269480,3.41832209518018E+07,62533.85425756070,1.84697212581088E+07,1.70287856290852E+07,3.54985068799897E+07,1.91745921950021E+08,1.15185723157945E+07,2.03264494260006E+08,563453.6256906050,2.0797960852878E+07,5507356.66612974,2.6305317519859E+07,1.6996111128896E+08,1767075.7816359500,1.71728187070068E+08,454811.3452387790,2.41469652973319E+09,1.69988978781678E+09,4.11458631684416E+09,1.59031717296234E+10,7.19183210121653E+08,1.66223549397245E+10,4.89126157157878E+07,russia,"{""type"":""Polygon"",""coordinates"":[[[56.99522996832759,55.05550702323632],[57.52257371832758,52.51198328957655],[61.829214343327585,52.40487335669727],[63.235464343327585,53.9843008500172],[83.27452684332758,53.09643988378601],[85.73546434332758,50.65549401958885],[89.51476121832758,53.62096564106527],[93.03038621832758,55.055507023236316],[88.72374559332758,57.16225991442478],[84.50499559332758,57.39979166950542],[71.49718309332758,58.2422810878412],[62.620229968327585,58.426836268349724],[58.137808093327585,57.16225991442477],[56.99522996832759,55.05550702323632]]]}"
3,1.91833286133334E+07,4.35210754372332E+07,6.27044040503408E+07,9.858390166983E+07,1.37066172237255E+07,1.1229051892284E+08,514839.49630073600,3173834.162023180,1.59755533162575E+07,1.91493874781731E+07,3.95846068656185E+07,6265212.5299659900,4.58498193915147E+07,197311.35891236800,4.30755298571463E+07,1.50259751076171E+08,1.93335280947571E+08,4.28621079271361E+08,4.14190090624256E+07,4.70040088416411E+08,2016009.1025945400,1.19769688332168E+09,3.35540174787037E+09,4.55309863099241E+09,6.29869909337468E+09,1.09161261321421E+09,7.39031170687289E+09,3.57964263346977E+07,2.93950513948019E+07,4.08452648048176E+07,7.02403162021746E+07,2.05986264876899E+08,4.02851992787714E+07,2.46271464173264E+08,865824.9122445220,5.23965608803823E+07,3.54890373634296E+07,8.78855982660669E+07,2.23450823636804E+08,2.3519189887215E+07,2.46970013620499E+08,711997.6753341870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58585337678536E+07,2.9630105281215E+07,6.54886390298692E+07,1.07183516401397E+08,1.01315267879412E+07,1.1731504315962E+08,522739.9971743120,3.71109108526991E+07,4.29569548640135E+07,8.00678657241478E+07,1.70111616222291E+08,2.25506128944078E+07,1.92662229091529E+08,878139.7169524090,1.75192529646105E+10,6.09695397917594E+09,2.36162069435661E+10,2.99006297663482E+10,1.83329462180051E+09,3.17339243895893E+10,1.47968640318536E+08,amazonas,"{""type"":""Polygon"",""coordinates"":[[[-70.44617628167241,-11.045089777119882],[-65.61219190667241,-11.73436336133584],[-56.82312940667241,-12.765022786261314],[-52.25281690667242,-9.575117290328329],[-46.89148878167241,-5.830613875889658],[-43.024301281672415,-2.8512446545070196],[-43.903207531672415,-1.1824163817218794],[-49.000863781672415,0.6631879957320466],[-56.47156690667241,-3.37780761559422],[-62.096566906672415,-7.0532896983249485],[-68.95203565667241,-7.924690123539958],[-70.44617628167241,-11.045089777119882]]]}"
4,2.20167665066705E+07,5.60351654944681E+07,7.80519319966108E+07,9.31217735619239E+07,2.68846323769708E+07,1.20006405927162E+08,615916.2368788120,1.79260523478064E+07,7.81499404884078E+07,9.60759928420126E+07,1.18461657836462E+08,3.47883461643475E+07,1.53250003976764E+08,739351.0401998980,5.71942786919374E+07,1.41382521659817E+08,1.9857680035259E+08,2.81359038786252E+08,8.94616410644415E+07,3.70820679858419E+08,2320886.0183945100,5.47741387776987E+08,1.07515816402415E+09,1.62289955175099E+09,2.26587570204895E+09,5.02684414649688E+08,2.76856011659967E+09,1.3947289033107E+07,1.2032454901842E+07,2.73684206320033E+07,3.94008755195356E+07,9.33307751788475E+07,2.32991062549773E+07,1.16629881438683E+08,327115.0794871460,3.78539994478077E+07,5.43286553676561E+07,9.21826547946061E+07,2.75254590706105E+08,3.79875476541493E+07,3.13242138547969E+08,698408.805267197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8175740.928083660,1.19429216382025E+07,2.01186625604976E+07,3.47838592321707E+07,7453233.4961899,4.22370927643355E+07,178217.2722250170,8.06215330269563E+08,1.35869996113361E+09,2.16491529129127E+09,2.72171566401655E+09,6.74000401983528E+08,3.39571606594227E+09,1.9332634533317E+07,3.72567737063374E+09,4.41478920938569E+09,8.14046657957779E+09,8.72743744688436E+09,1.76363431669975E+09,1.04910717629342E+10,5.00083624912039E+07,westAfrica,"{""type"":""Polygon"",""coordinates"":[[[-15.602426281672416,12.858571163272007],[-17.623910656672415,11.052986862818965],[-11.032113781672415,5.226252918306777],[-5.4950044066724155,2.8592809001718997],[1.8878080933275854,3.9997938409955784],[2.151479968327586,8.19372441301798],[-3.561410656672415,9.40967904886111],[-9.450082531672415,10.880415815890602],[-15.602426281672416,12.858571163272007]]]}"
5,4.94176753321538E+07,9.31374659228403E+07,1.42555141264501E+08,2.78660523736603E+08,4.38615642994523E+07,3.2252208800433E+08,1397536.8528570000,2.56379546119387E+07,8.13882425397717E+07,1.07026197151369E+08,2.10227933046584E+08,3.70931643666706E+07,2.4732109743918E+08,908060.9711053340,2.54048976573606E+08,7.55007566879659E+08,1.0090565434893E+09,2.51143708278343E+09,3.85397028337483E+08,2.89683411115625E+09,1.35281197755663E+07,2.6950001352055E+09,5.45719458206004E+09,8.15219471708071E+09,1.41040291407176E+10,2.25785476670889E+09,1.6361883906623E+10,7.40896985319482E+07,4.70911560198889E+07,6.78513991498265E+07,1.14942555184053E+08,2.38531978054345E+08,3.50459909995165E+07,2.73577968925025E+08,1196122.850901800,7.25840524625523E+07,4.60495427782185E+07,1.18633595267614E+08,4.66921416486218E+08,2.98885693578236E+07,4.9680998593003E+08,887771.8812856790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63875019603639E+07,2.52152581071005E+07,6.16027600819094E+07,1.12308062387903E+08,1.33280944508084E+07,1.25636156812194E+08,533139.1114816740,1.57786966650726E+09,2.45483206399476E+09,4.03270173036353E+09,6.94181250827257E+09,1.07796585630865E+09,8.01977836449904E+09,3.74511172368388E+07,3.26281854543989E+10,1.10773405413193E+10,4.37055259985539E+10,5.26372342841671E+10,4.23725412910831E+09,5.68744884149713E+10,2.5986452501731E+08,centralAfrica,"{""type"":""Polygon"",""coordinates"":[[[19.905386218327585,5.838618426762043],[16.917104968327585,5.401278675046011],[13.928823718327585,6.8867943491164585],[11.731558093327585,8.019699789239953],[7.776479968327587,7.322872051537413],[5.842886218327586,3.8244222509356587],[8.743276843327585,-2.3244405672712216],[12.874136218327585,-8.18576023591864],[18.587026843327585,-7.227707576478448],[26.23351121832759,-8.09875560386172],[31.682729968327585,-7.0532896983249485],[35.549917468327585,-3.2900657500724133],[36.428823718327585,0.7510719185064476],[31.243276843327585,3.9997938409955784],[24.91515184332759,5.926046252097433],[19.905386218327585,5.838618426762043]]]}"
